Distrito,Concelho,Freguesia,AreaCode,Party,Percentage,Votes
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,MPT,0.23,1
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,PCTP/MRPP,0.23,1
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,VP,0.23,1
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,ADN,0.00,0
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,JPP,0.00,0
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,L,0.00,0
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,MAS,0.00,0
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,R.I.R.,0.00,0
Aveiro,Albergaria-a-Velha,Alquerubim,010202,PS,46.04,517
Aveiro,Albergaria-a-Velha,Alquerubim,010202,PPD/PSD,32.50,365
Aveiro,Albergaria-a-Velha,Alquerubim,010202,CH,6.41,72
Aveiro,Albergaria-a-Velha,Alquerubim,010202,CDS-PP,4.81,54
Aveiro,Albergaria-a-Velha,Alquerubim,010202,IL,2.67,30
Aveiro,Albergaria-a-Velha,Alquerubim,010202,B.E.,2.49,28
Aveiro,Albergaria-a-Velha,Alquerubim,010202,PAN,0.71,8
Aveiro,Albergaria-a-Velha,Alquerubim,010202,PCP-PEV,0.45,5
Aveiro,Albergaria-a-Velha,Alquerubim,010202,L,0.36,4
Aveiro,Albergaria-a-Velha,Alquerubim,010202,R.I.R.,0.36,4
Aveiro,Albergaria-a-Velha,Alquerubim,010202,MAS,0.18,2
Aveiro,Albergaria-a-Velha,Alquerubim,010202,MPT,0.18,2
Aveiro,Albergaria-a-Velha,Alquerubim,010202,PCTP/MRPP,0.09,1
Aveiro,Albergaria-a-Velha,Alquerubim,010202,ADN,0.00,0
Aveiro,Albergaria-a-Velha,Alquerubim,010202,E,0.00,0
Aveiro,Albergaria-a-Velha,Alquerubim,010202,JPP,0.00,0
Aveiro,Albergaria-a-Velha,Alquerubim,010202,VP,0.00,0
Aveiro,Albergaria-a-Velha,Angeja,010203,PS,43.49,451
Aveiro,Albergaria-a-Velha,Angeja,010203,PPD/PSD,26.62,276
Aveiro,Albergaria-a-Velha,Angeja,010203,CH,7.04,73
Aveiro,Albergaria-a-Velha,Angeja,010203,CDS-PP,6.27,65
Aveiro,Albergaria-a-Velha,Angeja,010203,B.E.,4.34,45
Aveiro,Albergaria-a-Velha,Angeja,010203,PCP-PEV,3.47,36
Aveiro,Albergaria-a-Velha,Angeja,010203,IL,2.70,28
Aveiro,Albergaria-a-Velha,Angeja,010203,ADN,0.96,10
Aveiro,Albergaria-a-Velha,Angeja,010203,L,0.96,10
Aveiro,Albergaria-a-Velha,Angeja,010203,PCTP/MRPP,0.68,7
Aveiro,Albergaria-a-Velha,Angeja,010203,PAN,0.58,6
Aveiro,Albergaria-a-Velha,Angeja,010203,R.I.R.,0.58,6
Aveiro,Albergaria-a-Velha,Angeja,010203,MPT,0.19,2
Aveiro,Albergaria-a-Velha,Angeja,010203,E,0.00,0
Aveiro,Albergaria-a-Velha,Angeja,010203,JPP,0.00,0
Aveiro,Albergaria-a-Velha,Angeja,010203,MAS,0.00,0
Aveiro,Albergaria-a-Velha,Angeja,010203,VP,0.00,0
Aveiro,Albergaria-a-Velha,Branca,010204,PPD/PSD,37.17,1018
Aveiro,Albergaria-a-Velha,Branca,010204,PS,37.09,1016
Aveiro,Albergaria-a-Velha,Branca,010204,CH,6.75,185
Aveiro,Albergaria-a-Velha,Branca,010204,CDS-PP,6.64,182
Aveiro,Albergaria-a-Velha,Branca,010204,IL,3.32,91
Aveiro,Albergaria-a-Velha,Branca,010204,B.E.,2.74,75
Aveiro,Albergaria-a-Velha,Branca,010204,PCP-PEV,1.31,36
Aveiro,Albergaria-a-Velha,Branca,010204,PAN,1.06,29
Aveiro,Albergaria-a-Velha,Branca,010204,L,0.80,22
Aveiro,Albergaria-a-Velha,Branca,010204,R.I.R.,0.47,13
Aveiro,Albergaria-a-Velha,Branca,010204,PCTP/MRPP,0.22,6
Aveiro,Albergaria-a-Velha,Branca,010204,ADN,0.07,2
Aveiro,Albergaria-a-Velha,Branca,010204,MPT,0.07,2
Aveiro,Albergaria-a-Velha,Branca,010204,JPP,0.04,1
Aveiro,Albergaria-a-Velha,Branca,010204,VP,0.04,1
Aveiro,Albergaria-a-Velha,Branca,010204,E,0.00,0
Aveiro,Albergaria-a-Velha,Branca,010204,MAS,0.00,0
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,PS,37.38,314
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,PPD/PSD,34.05,286
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,CDS-PP,7.98,67
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,CH,7.14,60
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,B.E.,3.33,28
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,IL,2.86,24
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,PAN,1.19,10
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,PCP-PEV,1.19,10
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,R.I.R.,0.83,7
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,L,0.48,4
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,PCTP/MRPP,0.48,4
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,MPT,0.24,2
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,E,0.12,1
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,MAS,0.12,1
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,VP,0.12,1
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,ADN,0.00,0
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,010206,JPP,0.00,0
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,PPD/PSD,35.65,1834
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,PS,34.90,1795
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,CH,7.72,397
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,IL,5.00,257
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,CDS-PP,4.82,248
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,B.E.,4.72,243
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,PCP-PEV,1.56,80
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,PAN,1.50,77
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,L,0.70,36
