nivel,distrito,concelho,freguesia,dicofre
3,Braga,Fafe,União de freguesias de Monte e Queimadela,30743
3,Braga,Fafe,União de freguesias de Moreira do Rei e Várzea Cova,30744
3,Braga,Guimarães,Aldão,30801
3,Braga,Guimarães,Azurém,30804
3,Braga,Guimarães,Barco,30806
3,Braga,Guimarães,Brito,30807
3,Braga,Guimarães,Caldelas,30808
3,Braga,Guimarães,Costa,30812
3,Braga,Guimarães,Creixomil,30813
3,Braga,Guimarães,Fermentões,30815
3,Braga,Guimarães,Gonça,30820
3,Braga,Guimarães,Gondar,30821
3,Braga,Guimarães,Guardizela,30823
3,Braga,Guimarães,Infantas,30824
3,Braga,Guimarães,Longos,30827
3,Braga,Guimarães,Lordelo,30828
3,Braga,Guimarães,Mesão Frio,30830
3,Braga,Guimarães,Moreira de Cónegos,30831
3,Braga,Guimarães,Nespereira,30832
3,Braga,Guimarães,Pencelo,30835
3,Braga,Guimarães,Pinheiro,30836
3,Braga,Guimarães,Polvoreira,30837
3,Braga,Guimarães,Ponte,30838
3,Braga,Guimarães,Ronfe,30840
3,Braga,Guimarães,Prazins (Santa Eufémia),30842
3,Braga,Guimarães,Selho (São Cristóvão),30850
3,Braga,Guimarães,Selho (São Jorge),30854
3,Braga,Guimarães,Candoso (São Martinho),30857
3,Braga,Guimarães,Sande (São Martinho),30858
3,Braga,Guimarães,São Torcato,30865
3,Braga,Guimarães,Serzedelo,30866
3,Braga,Guimarães,Silvares,30868
3,Braga,Guimarães,Urgezes,30871
3,Braga,Guimarães,União das freguesias de Abação e Gémeos,30875
3,Braga,Guimarães,"União das freguesias de Airão Santa Maria, Airão São João e Vermil",30876
3,Braga,Guimarães,União das freguesias de Arosa e Castelões,30877
3,Braga,Guimarães,União das freguesias de Atães e Rendufe,30878
3,Braga,Guimarães,União das freguesias de Briteiros Santo Estêvão e Donim,30879
3,Braga,Guimarães,União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,30880
3,Braga,Guimarães,União das freguesias de Candoso São Tiago e Mascotelos,30881
3,Braga,Guimarães,União das freguesias de Conde e Gandarela,30882
3,Braga,Guimarães,"União das freguesias de Leitões, Oleiros e Figueiredo",30883
3,Braga,Guimarães,"União das freguesias de Oliveira, São Paio e São Sebastião",30884
3,Braga,Guimarães,União das freguesias de Prazins Santo Tirso e Corvite,30885
3,Braga,Guimarães,União das freguesias de Sande São Lourenço e Balazar,30886
3,Braga,Guimarães,União das freguesias de Sande Vila Nova e Sande São Clemente,30887
3,Braga,Guimarães,União das freguesias de Selho São Lourenço e Gominhães,30888
3,Braga,Guimarães,União das freguesias de Serzedo e Calvos,30889
3,Braga,Guimarães,"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",30890
3,Braga,Guimarães,União das freguesias de Tabuadelo e São Faustino,30891
3,Braga,Póvoa de Lanhoso,Covelas,30906
3,Braga,Póvoa de Lanhoso,Ferreiros,30908
3,Braga,Póvoa de Lanhoso,Galegos,30912
3,Braga,Póvoa de Lanhoso,Garfe,30913
3,Braga,Póvoa de Lanhoso,Geraz do Minho,30914
3,Braga,Póvoa de Lanhoso,Lanhoso,30915
3,Braga,Póvoa de Lanhoso,Monsul,30917
3,Braga,Póvoa de Lanhoso,Póvoa de Lanhoso (Nossa Senhora do Amparo),30919
3,Braga,Póvoa de Lanhoso,Rendufinho,30921
3,Braga,Póvoa de Lanhoso,Santo Emilião,30922
3,Braga,Póvoa de Lanhoso,São João de Rei,30923
